"region","ålder","kön","2022"
"00 Riket","0-4 år","män",296183
"00 Riket","0-4 år","kvinnor",280184
"00 Riket","5-9 år","män",319820
"00 Riket","5-9 år","kvinnor",301335
"00 Riket","10-14 år","män",325003
"00 Riket","10-14 år","kvinnor",306568
"00 Riket","15-19 år","män",310539
"00 Riket","15-19 år","kvinnor",292308
"00 Riket","20-24 år","män",310354
"00 Riket","20-24 år","kvinnor",275136
"00 Riket","25-29 år","män",342974
"00 Riket","25-29 år","kvinnor",323678
"00 Riket","30-34 år","män",400939
"00 Riket","30-34 år","kvinnor",379866
"00 Riket","35-39 år","män",357035
"00 Riket","35-39 år","kvinnor",337476
"00 Riket","40-44 år","män",331475
"00 Riket","40-44 år","kvinnor",316375
"00 Riket","45-49 år","män",332100
"00 Riket","45-49 år","kvinnor",320776
"00 Riket","50-54 år","män",334354
"00 Riket","50-54 år","kvinnor",326130
"00 Riket","55-59 år","män",344012
"00 Riket","55-59 år","kvinnor",334707
"00 Riket","60-64 år","män",288783
"00 Riket","60-64 år","kvinnor",286309
"00 Riket","65-69 år","män",268962
"00 Riket","65-69 år","kvinnor",273778
"00 Riket","70-74 år","män",255190
"00 Riket","70-74 år","kvinnor",269193
"00 Riket","75-79 år","män",238376
"00 Riket","75-79 år","kvinnor",259291
"00 Riket","80-84 år","män",140775
"00 Riket","80-84 år","kvinnor",167556
"00 Riket","85-89 år","män",69776
"00 Riket","85-89 år","kvinnor",102177
"00 Riket","90-94 år","män",25990
"00 Riket","90-94 år","kvinnor",52397
"00 Riket","95-99 år","män",5259
"00 Riket","95-99 år","kvinnor",15730
"00 Riket","100+ år","män",425
"00 Riket","100+ år","kvinnor",2262
